Date,Day_of_Week,Hour,Department,Staff_Count,Num_Patients,Average_Wait_Time,Emergency_Load,Label
2025-04-02,Wednesday,14,Emergency,10,33,68,Yes,High
2025-02-06,Monday,2,Surgery,10,5,17,Yes,Low
2025-01-03,Tuesday,8,Emergency,10,33,61,Yes,High
2025-04-08,Saturday,6,Emergency,13,22,38,Yes,High
2025-03-13,Thursday,23,Surgery,8,31,52,Yes,High
2025-02-06,Sunday,6,Emergency,13,29,57,Yes,High
2025-02-01,Saturday,2,Emergency,15,19,31,No,Medium
2025-02-27,Sunday,6,Cardiology,14,27,43,Yes,High
2025-07-24,Thursday,9,Surgery,9,17,33,No,Medium
2025-05-23,Saturday,0,Pediatrics,15,9,25,No,Low
2025-02-03,Wednesday,10,Emergency,6,32,53,Yes,High
2025-04-26,Saturday,13,Surgery,11,16,33,No,Medium
2025-04-10,Thursday,10,Pediatrics,9,2,28,Yes,Low
2025-02-14,Saturday,22,Pediatrics,15,17,31,No,Medium
2025-03-13,Sunday,0,Surgery,12,4,17,No,Low
2025-10-01,Saturday,3,Surgery,3,8,20,Yes,Low
2025-07-16,Wednesday,22,Radiology,14,20,37,Yes,High
2025-03-11,Friday,5,Surgery,3,10,27,Yes,Medium
2025-04-07,Wednesday,0,Emergency,11,17,43,No,Medium
2025-09-29,Friday,8,Cardiology,12,10,26,No,Medium
2025-07-18,Friday,4,Surgery,3,21,37,No,High
2025-08-23,Wednesday,5,Radiology,12,13,23,No,Medium
2025-07-18,Tuesday,1,Cardiology,13,13,25,Yes,Medium
2025-05-15,Thursday,4,Radiology,4,4,17,No,Low
2025-06-09,Tuesday,13,Pediatrics,9,13,33,No,Medium
2025-01-08,Monday,20,Cardiology,10,20,37,Yes,High
2025-04-09,Wednesday,23,Radiology,5,19,40,Yes,Medium
2025-10-06,Saturday,17,Surgery,9,11,28,Yes,Medium
2025-09-11,Friday,11,Surgery,15,14,39,No,Medium
2025-09-16,Wednesday,1,Radiology,14,0,6,Yes,Low
2025-05-08,Saturday,2,Emergency,6,34,61,Yes,High
2025-04-02,Tuesday,23,Cardiology,12,27,43,No,High
2025-09-10,Tuesday,14,Radiology,10,5,7,No,Low
2025-01-09,Wednesday,16,Surgery,10,11,22,No,Medium
2025-02-19,Thursday,5,Surgery,7,7,31,No,Low
2025-01-21,Tuesday,13,Emergency,15,19,42,No,Medium
2025-05-02,Saturday,11,Pediatrics,15,14,37,Yes,Medium
2025-10-01,Saturday,19,Surgery,10,20,34,Yes,High
2025-01-11,Saturday,18,Surgery,8,14,27,Yes,Medium
2025-01-02,Thursday,22,Pediatrics,12,17,24,No,Medium
2025-08-13,Friday,15,Surgery,15,8,22,No,Low
2025-01-28,Wednesday,5,Pediatrics,4,8,23,Yes,Low
2025-04-03,Saturday,15,Surgery,5,10,22,No,Medium
2025-08-26,Saturday,8,Pediatrics,6,12,23,No,Medium
2025-07-09,Saturday,14,Pediatrics,13,14,26,No,Medium
2025-09-07,Sunday,12,Emergency,13,37,69,Yes,High
2025-05-01,Saturday,21,Emergency,12,46,76,Yes,High
2025-10-04,Thursday,18,Pediatrics,11,21,36,Yes,High
2025-02-17,Thursday,10,Surgery,3,9,25,No,Low
2025-09-06,Thursday,22,Pediatrics,3,19,35,No,Medium
2025-06-11,Thursday,7,Radiology,15,11,23,No,Medium
2025-10-14,Tuesday,18,Pediatrics,11,10,32,Yes,Medium
2025-07-28,Wednesday,2,Emergency,15,32,52,Yes,High
2025-08-29,Saturday,14,Pediatrics,13,18,42,Yes,Medium
2025-05-01,Thursday,16,Pediatrics,10,15,28,Yes,Medium
2025-07-06,Monday,2,Surgery,12,9,16,Yes,Low
2025-01-18,Wednesday,14,Pediatrics,8,19,41,No,Medium
2025-05-03,Wednesday,1,Surgery,10,1,15,Yes,Low
2025-01-05,Wednesday,15,Emergency,4,38,67,Yes,High
2025-07-10,Tuesday,4,Surgery,11,7,19,Yes,Low
2025-08-03,Monday,14,Pediatrics,6,18,37,No,Medium
2025-03-24,Sunday,5,Cardiology,9,2,22,Yes,Low
2025-06-01,Wednesday,8,Emergency,10,27,58,Yes,High
2025-05-21,Wednesday,17,Radiology,15,7,19,No,Low
2025-07-01,Monday,15,Surgery,3,4,7,Yes,Low
2025-04-27,Wednesday,1,Radiology,6,8,29,Yes,Low
2025-01-30,Monday,0,Radiology,7,6,15,No,Low
2025-02-25,Sunday,2,Cardiology,13,17,30,No,Medium
2025-09-01,Sunday,2,Emergency,5,31,56,Yes,High
2025-07-31,Monday,18,Pediatrics,8,15,42,Yes,Medium
2025-06-03,Saturday,16,Pediatrics,13,12,34,No,Medium
2025-06-10,Thursday,10,Emergency,15,23,36,Yes,High
2025-09-15,Thursday,20,Cardiology,4,25,57,No,High
2025-06-14,Friday,8,Emergency,7,32,55,Yes,High
2025-09-24,Friday,6,Radiology,8,10,28,No,Medium
2025-03-18,Wednesday,22,Cardiology,9,34,59,Yes,High
2025-09-06,Tuesday,3,Pediatrics,7,13,25,Yes,Medium
2025-02-17,Wednesday,9,Emergency,7,29,47,Yes,High
2025-04-22,Sunday,21,Surgery,7,5,14,Yes,Low
2025-05-17,Friday,2,Pediatrics,6,10,21,Yes,Medium
2025-02-07,Sunday,16,Radiology,5,12,32,Yes,Medium
2025-07-08,Saturday,3,Surgery,14,17,29,No,Medium
2025-05-18,Wednesday,5,Emergency,6,35,53,Yes,High
2025-07-07,Saturday,16,Radiology,15,14,37,No,Medium
2025-06-15,Tuesday,11,Radiology,3,22,43,No,High
2025-04-18,Tuesday,19,Emergency,6,24,52,Yes,High
2025-04-10,Friday,11,Emergency,13,21,30,Yes,High
2025-06-14,Sunday,23,Cardiology,10,19,34,No,Medium
2025-05-25,Friday,9,Radiology,10,16,38,Yes,Medium
2025-03-17,Friday,5,Surgery,14,21,40,Yes,High
2025-07-03,Monday,6,Cardiology,8,17,35,Yes,Medium
2025-10-04,Wednesday,6,Radiology,5,10,14,Yes,Medium
2025-08-13,Sunday,1,Pediatrics,12,11,28,No,Medium
2025-09-01,Tuesday,11,Surgery,14,13,36,Yes,Medium
2025-01-31,Wednesday,17,Emergency,14,42,77,Yes,High
2025-07-11,Sunday,22,Pediatrics,15,21,36,No,High
2025-05-07,Monday,23,Surgery,15,11,25,Yes,Medium
2025-06-03,Sunday,4,Radiology,15,0,10,Yes,Low
2025-01-09,Wednesday,11,Surgery,13,12,27,Yes,Medium
2025-03-04,Tuesday,5,Surgery,7,5,13,Yes,Low
2025-06-17,Thursday,19,Surgery,7,17,25,No,Medium
2025-05-12,Saturday,9,Surgery,6,17,40,Yes,Medium
2025-02-23,Thursday,19,Cardiology,5,24,52,Yes,High
2025-03-25,Thursday,7,Radiology,3,5,10,No,Low
2025-02-21,Thursday,22,Pediatrics,11,18,42,Yes,Medium
2025-07-30,Saturday,2,Radiology,10,5,15,Yes,Low
2025-05-13,Thursday,9,Radiology,6,0,7,Yes,Low
2025-03-16,Sunday,21,Radiology,4,2,6,No,Low
2025-04-09,Saturday,16,Pediatrics,7,13,24,Yes,Medium
2025-06-07,Tuesday,2,Radiology,14,12,30,No,Medium
2025-04-04,Friday,3,Pediatrics,3,13,33,Yes,Medium
2025-06-17,Monday,0,Radiology,14,10,17,Yes,Medium
2025-08-14,Friday,11,Emergency,14,29,55,Yes,High
2025-07-30,Saturday,0,Pediatrics,8,22,41,Yes,High
2025-01-10,Tuesday,7,Pediatrics,12,27,54,Yes,High
2025-07-13,Thursday,16,Emergency,5,41,70,Yes,High
2025-09-18,Saturday,12,Cardiology,13,18,31,No,Medium
2025-10-02,Tuesday,8,Surgery,4,2,14,No,Low
2025-08-10,Saturday,0,Pediatrics,10,19,39,No,Medium
2025-01-07,Thursday,17,Cardiology,11,27,49,Yes,High
2025-05-23,Tuesday,22,Surgery,10,15,29,No,Medium
2025-02-28,Monday,5,Radiology,11,7,24,No,Low
2025-02-02,Thursday,8,Cardiology,3,12,27,Yes,Medium
2025-02-02,Saturday,20,Radiology,13,18,27,Yes,Medium
2025-07-15,Wednesday,17,Radiology,10,15,37,Yes,Medium
2025-07-08,Tuesday,10,Cardiology,3,17,39,Yes,Medium
2025-06-05,Saturday,23,Radiology,5,13,34,No,Medium
2025-06-28,Saturday,23,Pediatrics,5,29,57,Yes,High
2025-09-22,Tuesday,10,Pediatrics,15,9,21,No,Low
2025-01-06,Saturday,15,Cardiology,13,20,42,Yes,High
2025-01-14,Saturday,12,Cardiology,5,19,32,No,Medium
2025-03-19,Tuesday,19,Cardiology,9,25,44,Yes,High
2025-07-10,Tuesday,23,Pediatrics,4,33,69,Yes,High
2025-09-07,Monday,5,Pediatrics,5,8,19,Yes,Low
2025-04-02,Monday,4,Cardiology,4,15,34,No,Medium
2025-03-18,Wednesday,23,Cardiology,8,35,68,Yes,High
2025-04-17,Monday,23,Surgery,13,16,40,Yes,Medium
2025-04-29,Sunday,16,Radiology,10,12,19,Yes,Medium
2025-10-13,Friday,0,Emergency,3,38,67,Yes,High
2025-05-19,Sunday,6,Emergency,10,34,62,Yes,High
2025-02-04,Monday,13,Emergency,11,27,48,Yes,High
2025-04-09,Saturday,23,Radiology,11,18,39,No,Medium
2025-04-24,Sunday,18,Cardiology,9,24,42,Yes,High
2025-02-02,Tuesday,12,Radiology,7,11,23,No,Medium
2025-07-21,Thursday,8,Pediatrics,3,7,19,No,Low
2025-07-24,Tuesday,16,Emergency,3,35,66,Yes,High
2025-09-21,Thursday,23,Radiology,7,25,50,No,High
2025-08-03,Saturday,19,Emergency,4,35,62,Yes,High
2025-09-02,Friday,3,Cardiology,15,19,41,No,Medium
2025-03-31,Tuesday,16,Surgery,15,17,29,No,Medium
2025-06-01,Saturday,4,Emergency,5,31,55,Yes,High
2025-02-10,Thursday,20,Surgery,4,11,19,No,Medium
2025-04-03,Sunday,8,Pediatrics,5,3,20,No,Low
2025-08-29,Saturday,0,Pediatrics,3,7,21,Yes,Low
2025-01-05,Wednesday,7,Surgery,5,21,43,No,High
2025-06-22,Friday,14,Surgery,13,17,38,Yes,Medium
2025-05-07,Wednesday,15,Radiology,9,10,25,No,Medium
2025-01-05,Thursday,21,Cardiology,5,22,41,Yes,High
2025-01-04,Wednesday,8,Cardiology,10,12,33,No,Medium
2025-03-04,Tuesday,13,Emergency,15,33,57,Yes,High
2025-01-03,Wednesday,7,Cardiology,9,17,39,Yes,Medium
2025-03-26,Sunday,11,Cardiology,7,21,35,Yes,High
2025-07-28,Saturday,8,Pediatrics,6,16,30,Yes,Medium
2025-08-03,Thursday,21,Radiology,10,13,34,No,Medium
2025-01-30,Tuesday,12,Cardiology,4,18,39,Yes,Medium
2025-06-26,Thursday,0,Surgery,11,6,23,Yes,Low
2025-06-28,Sunday,7,Cardiology,8,11,19,Yes,Medium
2025-04-28,Saturday,13,Cardiology,11,20,36,No,High
2025-05-07,Tuesday,1,Pediatrics,8,0,7,Yes,Low
2025-08-12,Monday,9,Pediatrics,15,9,30,No,Low
2025-04-13,Sunday,5,Pediatrics,12,10,9,Yes,Medium
2025-01-15,Thursday,7,Cardiology,3,11,25,No,Medium
2025-07-25,Thursday,14,Surgery,3,12,23,No,Medium
2025-02-18,Sunday,7,Pediatrics,10,1,15,No,Low
2025-07-31,Saturday,18,Emergency,4,40,58,Yes,High
2025-06-17,Saturday,21,Surgery,4,10,28,Yes,Medium
2025-02-03,Wednesday,9,Radiology,9,13,32,No,Medium
2025-10-01,Saturday,23,Radiology,9,17,32,No,Medium
2025-04-04,Monday,8,Cardiology,3,16,24,No,Medium
2025-06-14,Tuesday,19,Emergency,11,25,36,Yes,High
2025-08-13,Friday,16,Pediatrics,15,21,42,Yes,High
2025-07-11,Thursday,6,Radiology,13,3,10,Yes,Low
2025-08-15,Saturday,11,Emergency,10,24,47,Yes,High
2025-09-18,Sunday,14,Radiology,9,20,45,Yes,High
2025-07-11,Sunday,0,Radiology,6,3,15,Yes,Low
2025-09-04,Wednesday,20,Emergency,11,37,61,Yes,High
2025-05-13,Friday,17,Radiology,4,14,32,No,Medium
2025-01-05,Saturday,19,Cardiology,8,16,33,No,Medium
2025-04-22,Sunday,2,Emergency,5,22,44,Yes,High
2025-07-27,Friday,0,Radiology,9,0,14,Yes,Low
2025-01-24,Tuesday,1,Pediatrics,14,5,20,Yes,Low
2025-01-25,Saturday,22,Surgery,14,19,29,Yes,Medium
2025-03-22,Sunday,23,Cardiology,4,21,40,No,High
2025-04-29,Tuesday,1,Pediatrics,15,12,29,No,Medium
2025-05-23,Thursday,19,Cardiology,15,30,63,Yes,High
2025-01-26,Thursday,10,Radiology,13,22,42,No,High
2025-01-30,Friday,9,Radiology,13,15,31,Yes,Medium
2025-03-25,Monday,10,Radiology,15,6,16,Yes,Low
2025-02-15,Friday,19,Cardiology,10,20,37,No,High
2025-10-03,Sunday,17,Cardiology,4,13,35,No,Medium
2025-08-22,Monday,4,Surgery,10,11,26,Yes,Medium
2025-09-24,Wednesday,18,Cardiology,10,18,28,Yes,Medium
2025-01-28,Saturday,10,Radiology,6,6,10,Yes,Low
2025-01-18,Tuesday,5,Surgery,5,11,27,No,Medium
2025-04-02,Saturday,8,Emergency,3,24,40,Yes,High
2025-05-17,Monday,11,Cardiology,4,11,20,Yes,Medium
2025-03-20,Tuesday,3,Surgery,7,4,16,No,Low
2025-08-18,Sunday,9,Radiology,8,6,22,Yes,Low
2025-07-04,Friday,17,Surgery,8,14,36,No,Medium
2025-06-14,Thursday,14,Pediatrics,5,26,44,Yes,High
2025-07-15,Thursday,1,Radiology,10,2,16,No,Low
2025-06-16,Sunday,1,Pediatrics,15,3,15,Yes,Low
2025-03-20,Friday,11,Cardiology,5,22,40,No,High
2025-03-11,Monday,13,Radiology,13,13,28,No,Medium
2025-05-12,Tuesday,1,Pediatrics,14,8,28,Yes,Low
